ServiceName
Capture Service
Connected Devices Platform User Service
Clipboard User Service
ConsentUX User Service
Contact Data
DevicePicker
DevicesFlow
Google Update Service
Google Chrome Elevation Service
LxssManagerUser
Udk User Service
User Data Access
User Data Storage
Windows Push Notification User Service
Windows Search
